name,lift,week,set,time,seconds_elapsed_Accelerometer,y_Accelerometer,y_Accelerometer_smooth_medium,y_Accelerometer_smooth_light,velocity_y
Jesse,Squat,1,4,2026-04-09 06:08:22.610697000,0.910697021484375,0.0142465520173311,-0.0574744864814678,-0.0745260966984033,0.0257462020254915
Jesse,Squat,1,4,2026-04-09 06:08:22.620711000,0.9207109375,-0.0004430675923824,-0.0604423301305373,-0.0738816730054617,0.0248953538342705
Jesse,Squat,1,4,2026-04-09 06:08:22.630724900,0.930724853515625,-0.0079430679589509,-0.0637152552378972,-0.0714708709236383,0.0240598030302083
Jesse,Squat,1,4,2026-04-09 06:08:22.640739000,0.940739013671875,-0.0414817649453878,-0.0666150839198827,-0.0691384181559086,0.0232479817121672
Jesse,Squat,1,4,2026-04-09 06:08:22.650753000,0.9507529296875,-0.0590600917339324,-0.0693488616234461,-0.066370964197874,0.0224617152047766
Jesse,Squat,1,4,2026-04-09 06:08:22.660766700,0.9607666015625,-0.1143237137943506,-0.0725706527558962,-0.0617904636232853,0.0217122578694908
Jesse,Squat,1,4,2026-04-09 06:08:22.670781000,0.970781005859375,-0.1497854877978563,-0.0751715647371212,-0.0595771364166736,0.0209967637863174
Jesse,Squat,1,4,2026-04-09 06:08:22.680795000,0.980794921875,-0.1276373688757419,-0.0780641687285502,-0.0605615648024082,0.0202874576339198
Jesse,Squat,1,4,2026-04-09 06:08:22.690807800,0.990807861328125,-0.1704512592077255,-0.0806114839493036,-0.063055368992567,0.0195608069873482
Jesse,Squat,1,4,2026-04-09 06:08:22.700821800,1.00082177734375,-0.1832914515584707,-0.0829966372106075,-0.0667886869211197,0.0188029065315438
Jesse,Squat,1,4,2026-04-09 06:08:22.710836000,1.0108359375,-0.1608183384656906,-0.0857524007308483,-0.0745189889122247,0.0179875883351009
Jesse,Squat,1,4,2026-04-09 06:08:22.720850000,1.020849853515625,-0.159530636742711,-0.0887253569980462,-0.0844198778693676,0.0170840113830356
Jesse,Squat,1,4,2026-04-09 06:08:22.730863900,1.03086376953125,-0.1407271520733833,-0.09165218279771,-0.0912451529282331,0.0160966872301104
Jesse,Squat,1,4,2026-04-09 06:08:22.740877800,1.0408779296875,-0.1096744266837835,-0.0931317479857603,-0.0944515828254222,0.0150591094560539
Jesse,Squat,1,4,2026-04-09 06:08:22.750892000,1.05089208984375,-0.1107435172200203,-0.0929967156356175,-0.0969413421241045,0.0139930104065535
Jesse,Squat,1,4,2026-04-09 06:08:22.760906000,1.060906005859375,-0.140709031894803,-0.0906842301356395,-0.1006102925021648,0.0128961009473245
Jesse,Squat,1,4,2026-04-09 06:08:22.770919700,1.070919677734375,-0.1101589953303337,-0.0860607321308453,-0.1029340709650516,0.0117692136207717
Jesse,Squat,1,4,2026-04-09 06:08:22.780934000,1.080933837890625,-0.0768868403255939,-0.0797159496525526,-0.102061239498496,0.010635006337749
