time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,dB,Weight,Reps,RPE,Set,Lift,Order
2026-03-27T04:28:53.808Z,-0.1337,-0.9144,0.3719,0.0157,-0.0017,0.0421,-0.0012,-0.0001,-0.0053,-29.7,66.33,-160.72,58.43,95,8,6,4,Bench,1
2026-03-27T04:28:53.820Z,-0.1391,-0.919,0.3802,0.0568,0.0328,-0.0264,0.0019,-0.001,-0.0037,-29.7,66.33,-160.72,58.43,95,8,6,4,Bench,1
2026-03-27T04:28:53.831Z,-0.138,-0.9189,0.3754,0.0607,0.019,0.0232,0.0047,-0.0009,-0.0061,-29.71,66.33,-160.72,58.43,95,8,6,4,Bench,1
2026-03-27T04:28:53.838Z,-0.138,-0.9189,0.3754,0.0607,0.019,0.0232,0.0058,-0.0015,-0.0031,-29.71,66.33,-160.72,58.43,95,8,6,4,Bench,1
2026-03-27T04:28:53.850Z,-0.1423,-0.915,0.3768,0.0816,0.007,0.0412,0.005,-0.0025,-0.0043,-29.71,66.33,-160.71,58.43,95,8,6,4,Bench,1
2026-03-27T04:28:53.860Z,-0.1418,-0.9167,0.3775,0.0965,-0.0106,0.0106,0.0029,-0.0016,-0.0039,-29.71,66.33,-160.71,58.43,95,8,6,4,Bench,1
2026-03-27T04:28:53.868Z,-0.1418,-0.9167,0.3775,0.0965,-0.0106,0.0106,0.0056,-0.0024,-0.0029,-29.71,66.33,-160.71,60.87,95,8,6,4,Bench,1
2026-03-27T04:28:53.877Z,-0.1384,-0.9188,0.3749,0.0708,0.0311,0.028,0.0052,-0.0026,-0.0046,-29.71,66.33,-160.71,60.87,95,8,6,4,Bench,1
2026-03-27T04:28:53.890Z,-0.1397,-0.9163,0.3856,0.0624,0.0036,-0.0503,0.0025,-0.0035,-0.0058,-29.71,66.33,-160.71,60.87,95,8,6,4,Bench,1
2026-03-27T04:28:53.900Z,-0.1381,-0.9148,0.3822,0.0698,0.0011,-0.0517,0.0045,-0.0035,-0.0042,-29.71,66.33,-160.72,60.87,95,8,6,4,Bench,1
2026-03-27T04:28:53.908Z,-0.1338,-0.9163,0.3814,0.0698,0.0011,-0.0517,0.0045,-0.0035,-0.0042,-29.71,66.33,-160.72,60.87,95,8,6,4,Bench,1
2026-03-27T04:28:53.919Z,-0.1337,-0.9179,0.3843,0.0085,0.0172,-0.0379,0.0005,-0.0039,-0.0053,-29.7,66.33,-160.72,60.87,95,8,6,4,Bench,1
