time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,Weight,Reps,RPE,Set,Lift,Order
2026-03-27T23:01:21.145Z,-0.057,-0.7179,-0.7016,0.0009,0.069,0.0561,0.0025,0.0004,-0.0027,-168.76,45.43,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.154Z,-0.057,-0.7211,-0.7051,-0.0005,0.0755,0.0308,-0.0008,-0.0029,-0.0029,-168.76,45.43,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.164Z,-0.0572,-0.7149,-0.7006,0.0011,-0.0026,0.0053,0.0007,-0.001,-0.0076,-168.76,45.43,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.174Z,-0.0561,-0.7137,-0.7004,-0.0101,0.0566,0.0135,-0.0014,-0.0033,-0.0014,-168.76,45.42,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.185Z,-0.0559,-0.722,-0.7025,-0.0098,0.1231,0.0293,-0.0004,-0.0014,-0.0047,-168.76,45.42,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.195Z,-0.0562,-0.7242,-0.7007,-0.0055,0.0914,-0.0142,-0.0013,-0.0014,-0.0053,-168.76,45.42,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.205Z,-0.056,-0.719,-0.698,-0.0072,0.0633,-0.0092,0.0021,-0.0043,-0.0051,-168.76,45.41,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.214Z,-0.0566,-0.7205,-0.7008,-0.0003,0.099,0.0236,-0.0009,-0.0001,-0.0027,-168.76,45.41,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.224Z,-0.057,-0.7199,-0.7031,-0.002,0.0381,0.036,0.0005,-0.0026,-0.0046,-168.76,45.41,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.234Z,-0.0567,-0.7138,-0.7032,0.0016,0.0192,0.0232,0.0002,-0.0024,-0.0038,-168.75,45.41,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.245Z,-0.057,-0.7166,-0.7019,-0.0029,0.0836,0.0171,0.0027,-0.0014,-0.0024,-168.75,45.4,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.255Z,-0.0565,-0.7231,-0.7011,-0.0062,0.1097,-0.0044,0.0034,-0.0023,-0.0041,-168.75,45.4,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.264Z,-0.0563,-0.7213,-0.6983,-0.0042,0.0754,-0.0128,0.0006,-0.0014,-0.0041,-168.75,45.4,-4.65,225,5,6,2,Deadlift,1
